Time t (s),Horizontal Pos x (m),Absolute Amplitude |x| (m),ln(|x|),Data Status
0,-0.232,0.232,-1.461,Valid
0.999,0.211,0.211,-1.556,Valid
1.931,-0.192,0.192,-1.65,Valid
2.93,0.177,0.177,-1.732,Valid
3.862,-0.157,0.157,-1.852,Valid
4.861,0.147,0.147,-1.917,Valid
5.793,-0.142,0.142,-1.952,Valid
6.758,0.131,0.131,-2.033,Valid
7.691,-0.119,0.119,-2.129,Valid
8.656,0.111,0.111,-2.198,Valid
9.655,-0.106,0.106,-2.244,Valid
10.62,0.103,0.103,-2.273,Valid
11.55,-0.091,0.091,-2.397,Valid
12.52,0.093,0.093,-2.375,Valid
13.48,-0.084,0.084,-2.477,Valid
14.42,0.079,0.079,-2.538,Cutoff Threshold
