Time t (s),Horizontal Pos. x (m),Absolute Amplitude |x| (m),ln(|x|),Data Status
0,-0.227,0.227,-1.483,Valid
0.999,0.193,0.193,-1.645,Valid
1.964,-0.186,0.186,-1.682,Valid
2.93,0.163,0.163,-1.814,Valid
3.862,-0.156,0.156,-1.858,Valid
4.861,0.145,0.145,-1.931,Valid
5.793,-0.139,0.139,-1.973,Valid
6.792,0.128,0.128,-2.056,Valid
7.724,-0.126,0.126,-2.071,Valid
8.69,0.111,0.111,-2.198,Valid
9.622,-0.102,0.102,-2.283,Valid
10.65,0.0944,0.0944,-2.361,Valid
11.59,-0.0899,0.0899,-2.409,Valid
12.55,0.0882,0.0882,-2.428,Valid
13.48,-0.0803,0.0803,-2.522,Valid
14.42,0.073,0.073,-2.617,Cutoff Threshold
