Time t (s),Horizontal Pos. x (m),Absolute Amplitude ∥x (m),\ln(\|x\,Data Status
0,-0.183,0.183,-1.698,Valid
0.999,0.161,0.161,-1.826,Valid
1.964,-0.152,0.152,-1.884,Valid
2.93,0.14,0.14,-1.966,Valid
3.895,-0.126,0.126,-2.071,Valid
4.861,0.121,0.121,-2.112,Valid
5.793,-0.108,0.108,-2.226,Valid
6.759,0.109,0.109,-2.216,Valid
7.691,-0.097,0.097,-2.333,Valid
8.723,0.0949,0.0949,-2.355,Valid
9.655,-0.0833,0.0833,-2.486,Valid
10.62,0.0797,0.0797,-2.529,Valid
11.55,-0.0762,0.0762,-2.575,Valid
12.55,0.0751,0.0751,-2.589,Valid
13.45,-0.0696,0.0696,-2.666,Valid
14.52,0.0665,0.0665,-2.711,Valid
15.41,-0.0609,0.0609,-2.798,Cutoff Threshold
