Time (s),Horizontal Pos. x (m),|x| (m),ln(|x|),Data Status
0,-0.193,0.193,-1.645,Valid
0.965,0.18,0.18,-1.715,Valid
1.964,-0.161,0.161,-1.826,Valid
2.896,0.15,0.15,-1.897,Valid
3.862,-0.138,0.138,-1.981,Valid
4.861,0.135,0.135,-2.002,Valid
5.793,-0.119,0.119,-2.129,Valid
6.758,0.124,0.124,-2.087,Valid
7.724,-0.118,0.118,-2.137,Valid
8.723,0.115,0.115,-2.163,Valid
9.622,-0.106,0.106,-2.244,Valid
10.62,0.107,0.107,-2.235,Valid
11.52,-0.0985,0.0985,-2.318,Valid
12.48,0.098,0.098,-2.323,Valid
13.45,-0.0878,0.0878,-2.432,Valid
14.45,0.0888,0.0888,-2.421,Valid
15.38,-0.0807,0.0807,-2.517,Valid
16.31,0.0828,0.0828,-2.492,Valid
17.25,-0.0721,0.0721,-2.63,Valid
18.31,0.0726,0.0726,-2.623,Valid
19.14,-0.064,0.064,-2.749,Cutoff Threshold
